0,69,52,31,99,39,19,82,0,64,19,49,79,65,58,7,25,29,93,16,64,26,70,62,4,50,74,1,66,80,59,19,90,75,77,27,59,32,9,15,61,96,66,46,25,22,50,35,50,3,90,42,94,44,12,96,85,60,58,67,86,17,12,51,63,5,22,68,7,82,12,56,84,45,11,87,89,76,5,28,47,54,22,46,12,59,98,81,0,40,31,90,94,42,58,39,3,82,8,94,34,59,7,34,98,38,81,53,26,47,88,61,68,43,85,72,46,45,80,42,54,37,7,3,69,62,95,90,71,36,75,89,91,98,89,45,23,67,86,87,60,22,4,53,24,21,65,72,74,89,31,18,45,62,53,7,39,66,4,95,10,78,59,80,85,26,85,27,15,47,4,47,43,21,78,7,48,11,37,22,8,92,10,11,87,22,86,55,91,83,39,1,42,13,24,25,73,52,85,82
69,0,82,42,85,40,27,1,23,50,16,83,85,77,59,77,84,79,42,89,50,84,17,86,46,16,61,21,94,29,10,14,97,35,25,11,46,70,93,73,87,95,12,0,47,75,55,2,50,42,62,51,71,77,2,2,87,45,2,62,40,99,5,35,83,21,13,85,30,16,94,68,40,15,66,62,47,74,86,22,62,70,43,99,47,54,94,73,78,99,25,11,0,19,14,36,71,11,26,13,56,40,89,69,96,5,87,22,4,21,14,95,6,8,64,94,90,26,50,79,3,28,55,94,15,92,75,17,25,78,8,28,94,30,67,48,17,36,38,80,67,98,19,96,61,49,11,36,40,85,40,54,70,35,22,13,61,58,79,1,21,34,87,66,25,0,5,60,20,56,50,35,51,8,21,65,67,87,94,95,71,94,4,96,27,15,14,64,49,9,78,24,16,67,93,21,90,45,23,42
52,82,0,24,72,27,87,64,5,65,10,36,26,17,47,57,9,10,8,74,98,41,10,47,43,1,80,59,46,74,71,95,90,98,40,24,12,97,31,84,51,45,29,58,63,32,72,86,27,70,6,34,37,3,75,37,50,21,56,73,27,20,56,58,61,61,61,16,53,7,11,21,35,93,13,68,72,18,24,38,53,73,69,30,21,91,74,36,13,99,85,58,93,68,80,23,53,6,37,97,69,14,79,19,42,26,79,3,81,22,93,55,96,13,35,10,95,45,49,95,46,63,53,61,59,42,8,15,43,31,22,61,96,88,33,77,67,95,98,19,37,24,79,24,34,99,11,21,15,62,4,82,47,88,3,65,3,26,8,8,30,19,0,1,50,45,41,9,15,30,8,98,48,62,68,82,28,53,66,27,23,65,31,70,72,72,92,0,38,65,58,74,66,46,65,70,92,50,11,45
31,42,24,0,96,9,27,32,90,34,22,3,75,37,5,11,81,78,9,26,7,23,96,95,0,81,35,53,95,69,31,84,85,53,3,9,89,62,11,46,11,21,31,18,74,47,97,66,33,94,97,12,54,6,30,57,13,93,54,75,30,55,88,43,86,21,61,26,40,54,4,94,75,44,61,99,93,88,70,74,23,56,93,66,92,99,8,16,81,50,42,85,95,79,51,73,12,94,60,12,89,21,83,86,12,77,86,81,76,34,93,21,14,58,51,80,62,13,70,56,83,4,26,65,94,60,91,73,81,26,97,46,83,44,10,15,20,3,22,11,30,13,79,17,40,38,51,41,60,96,47,10,76,58,58,48,8,95,72,46,55,91,91,51,96,44,8,80,46,34,11,44,8,0,69,52,59,17,18,25,82,42,63,0,91,20,0,31,0,16,78,44,78,93,89,3,27,50,54,19
99,85,72,96,0,0,86,11,76,35,43,53,99,19,9,14,43,21,47,37,83,67,26,21,89,25,26,32,9,86,54,6,83,3,96,32,65,33,98,23,38,96,60,15,71,80,39,42,89,76,81,91,57,67,21,50,20,20,78,37,4,57,0,91,32,40,91,10,31,90,55,70,99,70,82,96,47,84,72,12,86,44,23,83,64,71,0,22,62,94,12,49,73,45,47,52,49,40,52,44,37,9,21,12,51,22,75,97,2,45,97,9,9,30,41,90,97,24,81,28,3,91,26,12,15,62,84,48,62,16,68,63,72,82,28,15,10,64,47,9,26,98,3,3,43,40,19,87,47,4,89,0,71,34,79,32,66,68,56,46,61,36,57,43,5,76,20,61,89,71,73,34,92,66,56,25,26,75,81,33,44,44,32,80,23,30,72,41,66,54,82,89,33,88,35,17,15,63,89,31
39,40,27,9,0,0,96,72,45,19,39,50,63,31,48,38,55,99,58,57,53,52,67,97,68,77,95,69,74,75,60,37,8,77,45,77,22,83,48,7,90,99,6,82,94,76,81,9,18,79,67,74,95,46,11,30,60,13,69,9,80,30,5,15,18,86,25,75,33,13,36,28,90,34,71,3,21,25,4,13,91,14,2,0,37,97,43,80,73,70,92,17,28,43,9,48,89,99,33,2,19,21,63,64,60,49,5,61,66,47,2,52,0,69,36,19,78,91,81,23,59,44,5,1,8,72,54,33,6,10,92,81,96,36,13,56,77,93,98,29,98,47,73,88,41,7,43,44,32,6,88,93,33,68,63,98,98,97,91,46,83,75,3,61,10,17,35,40,9,51,70,69,62,65,54,18,88,10,81,80,95,93,52,36,77,17,59,6,55,42,78,57,48,64,17,53,48,64,90,15
19,27,87,27,86,96,0,0,14,57,80,99,98,84,41,11,61,17,27,37,88,31,92,61,49,47,25,61,43,32,89,70,37,72,5,43,53,19,9,22,19,9,15,92,62,42,10,9,56,88,55,0,40,43,77,80,10,83,65,31,58,99,66,82,94,13,9,19,12,63,19,29,38,63,79,71,51,29,68,5,81,86,32,75,56,24,50,22,2,13,72,1,52,96,67,6,0,48,72,34,22,34,15,32,16,84,32,50,72,55,65,80,11,21,82,69,46,38,74,41,78,57,3,33,31,50,85,80,24,59,38,15,49,52,36,7,54,39,96,0,0,9,39,31,52,70,43,1,3,92,82,21,62,45,81,83,54,59,49,38,52,12,89,84,96,97,36,92,3,59,80,45,53,82,91,32,94,88,36,74,94,18,3,42,12,46,79,38,60,59,88,16,96,13,4,78,19,53,85,47
82,1,64,32,11,72,0,0,41,81,24,32,16,84,22,53,83,35,17,98,49,53,72,94,63,97,45,27,62,74,56,83,38,7,98,0,17,0,64,12,74,82,12,12,90,98,12,69,29,41,54,76,71,52,95,38,49,6,14,63,60,2,80,74,35,26,50,29,52,71,59,22,71,72,5,44,29,20,98,57,82,15,33,45,91,16,42,92,91,80,91,78,72,35,88,56,11,82,12,5,92,90,44,49,37,75,27,38,53,13,90,17,44,70,91,15,50,50,73,53,62,93,30,16,73,0,77,66,9,92,70,71,38,13,7,50,87,80,19,88,25,18,84,82,49,16,95,87,5,38,28,8,38,61,57,19,92,90,39,96,82,78,47,96,65,8,60,97,32,97,65,91,42,81,54,89,37,94,41,87,16,90,78,98,15,59,57,90,27,60,91,14,67,60,33,83,50,67,57,72
0,23,5,90,76,45,14,41,0,44,44,49,86,62,94,18,96,0,74,61,96,34,13,44,66,72,37,6,5,0,31,0,44,79,48,11,63,81,27,54,77,28,52,62,37,87,63,39,5,66,92,95,43,28,88,83,32,99,94,96,50,24,43,97,83,60,20,37,69,36,51,99,85,78,33,42,12,12,76,24,64,71,86,94,62,74,87,54,14,33,85,18,49,91,32,82,80,33,48,43,48,66,70,49,87,96,49,30,64,0,96,1,24,36,87,28,1,3,23,62,98,57,86,15,13,63,20,95,60,53,16,20,74,28,6,92,61,97,76,47,84,58,60,59,43,92,82,18,13,31,24,60,71,38,60,64,46,1,12,86,62,30,67,77,33,42,26,53,13,16,58,19,14,72,54,26,55,36,54,67,14,52,68,92,76,67,64,40,97,97,87,97,30,85,89,49,43,88,55,97
64,50,65,34,35,19,57,81,44,0,87,88,39,17,85,32,29,45,10,41,0,33,91,93,30,31,47,14,71,54,25,18,36,84,43,68,74,45,57,10,37,90,24,18,75,37,29,44,21,48,87,50,97,12,12,84,92,69,90,89,60,92,15,87,21,45,8,95,22,7,20,57,4,22,89,94,4,44,44,39,19,46,24,67,24,51,69,14,98,40,97,53,44,69,56,19,6,44,72,56,72,47,46,95,83,19,79,31,14,71,61,66,2,63,63,66,34,40,26,7,91,36,29,16,60,39,99,88,48,89,78,40,22,29,59,89,40,84,88,88,19,37,41,40,74,65,19,13,72,73,67,86,42,30,60,34,74,53,57,57,41,83,49,22,57,8,11,55,16,40,13,89,37,52,44,86,85,46,20,47,43,52,46,93,13,12,71,36,51,77,40,83,65,98,86,0,79,52,95,81
19,16,10,22,43,39,80,24,44,87,0,21,62,87,26,12,94,18,66,27,28,63,74,53,57,15,49,74,15,64,98,84,9,61,73,0,51,2,9,25,27,56,95,20,7,44,20,7,65,34,43,31,12,85,20,51,23,96,52,74,67,14,54,43,59,2,27,71,68,72,9,56,44,11,74,58,87,69,20,64,32,56,91,21,6,46,40,98,29,8,80,9,89,61,39,27,41,77,45,46,40,59,53,59,92,68,83,78,94,73,14,97,86,74,33,7,1,55,60,52,29,14,50,27,29,11,69,46,21,84,62,36,69,80,83,61,95,17,20,48,70,87,88,53,89,14,8,38,51,70,98,90,34,24,53,86,85,42,16,26,83,63,13,11,55,32,20,28,80,41,57,42,48,64,66,89,66,18,83,11,72,22,33,99,30,47,16,52,39,14,32,85,59,90,2,57,39,42,28,77
